"incident_date","incident_number","cad_number","alarm_date_time","unit_clear_date_time","street_address","apt_suite_number","neighborhood","incident_type_id","incident_type_desc","alarms","suppression_app_count","suppression_per_count","ems_app_count","ems_per_count","other_app_count","other_per_count","incident_closed","Location"
2010-12-28,222,10362222,2010-12-28 23:11:00,2010-12-29 00:28:00,"4959 WESTERN HILLS AV","","WEST PRICE",111,"Fire - Building",1,9,28,0,NA,0,0,1,"CINC 45238
(39.11445835500007, -84.60720835499995)"
2010-12-28,216,10362216,2010-12-28 22:32:00,2010-12-28 22:36:00,"923 PAVILION ST","","MOUNT  ADA",600,"Good intent call, other",0,1,4,0,NA,0,0,1,"CINC 45201
(39.106628655000065, -84.53640648999999)"
2010-12-28,214,10362214,2010-12-28 22:15:00,2010-12-28 22:39:00,"330 FOREST AV","1213","AVONDALE  ",113,"Cooking fire, confined to container",0,10,32,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-28,211,10362211,2010-12-28 21:39:00,2010-12-28 21:53:00,"1170 ATWOOD AV","1","COLLEGE  H",113,"Cooking fire, confined to container",0,1,4,0,NA,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
2010-12-28,206,10362206,2010-12-28 21:09:00,2010-12-28 21:29:00,"7126 FERNBANK AV","","SAYLER  PA",443,"Breakdown of light ballast",0,1,4,0,0,0,0,1,"CINC 45233
(39.117439029000025, -84.66619614899997)"
2010-12-28,188,10362188,2010-12-28 19:01:00,2010-12-28 19:10:00,"2530 BARTLETT ST","","NORTH FAIR",651,"Smoke scare, odor of smoke",0,1,4,0,NA,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
2010-12-28,186,10362186,2010-12-28 18:54:00,2010-12-28 19:16:00,"1025 YORK ST","","WEST  END ",735,"Alarm system sounded due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
2010-12-28,180,10362180,2010-12-28 18:31:00,2010-12-28 18:43:00,"1228 CENTRAL PY ","","OVER-THE-R",745,"Alarm system activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
2010-12-28,162,10362162,2010-12-28 17:12:00,2010-12-28 17:31:00,"964 AUBURNVIEW DR","3E","WALNUT HIL",520,"Water problem, other",0,1,4,0,NA,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
2010-12-28,152,10362152,2010-12-28 16:07:00,2010-12-28 16:22:00,"2000 WESTWOOD NORTHERN BV ","","ENGLISH  W",711,"Municipal alarm system, malicious false alarm",0,1,4,0,NA,0,0,1,"CINC 45225
(39.14027637700008, -84.54955882199994)"
2010-12-28,137,10362137,2010-12-28 14:55:00,2010-12-28 15:04:00,"0 KESSLER AV","","CLIFTON   ",511,"Lock-out",0,1,4,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-28,135,10362135,2010-12-28 14:38:00,2010-12-28 14:49:00,"5915 OMEARA PL","","PLEASANT R",735,"Alarm system sounded due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45213
(39.18204926000004, -84.42030794299995)"
2010-12-28,122,10362122,2010-12-28 13:49:00,2010-12-28 14:01:00,"5915 OMEARA PL","","PLEASANT R",735,"Alarm system sounded due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45213
(39.18204926000004, -84.42030794299995)"
2010-12-28,115,10362115,2010-12-28 13:17:00,2010-12-28 13:32:00,"5915 OMEARA PL","","PLEASANT R",735,"Alarm system sounded due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45213
(39.18204926000004, -84.42030794299995)"
2010-12-28,111,10362111,2010-12-28 12:56:00,2010-12-28 13:07:00,"2602 MCMICKEN CR UC ","M126","CLIFTON/UN",745,"Alarm system activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
2010-12-28,109,10362109,2010-12-28 12:52:00,2010-12-28 12:59:00,"2767 ERIE AV","","HYDE PARK ",700,"False alarm or false call, other",0,1,4,0,NA,0,0,1,"CINC 45208
(39.13723921900004, -84.43727953499996)"
2010-12-28,84,10362084,2010-12-28 11:10:00,2010-12-28 11:33:00,"3664 STONE ARBOR LN","","COLUMBIA /",424,"Carbon monoxide incident",0,1,4,0,NA,0,0,1,"CINC 45218
(39.26816726900006, -84.52051680499994)"
2010-12-28,81,10362081,2010-12-28 11:01:00,2010-12-28 11:37:00,"2555 MCMICKEN AV","","CLIFTON/UN",424,"Carbon monoxide incident",0,2,8,0,NA,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
2010-12-28,75,10362075,2010-12-28 10:40:00,2010-12-28 10:41:00,"1558 HERALD AV","","EVANSTON  ",611,"Dispatched & canceled en route",0,1,4,0,NA,0,0,1,"CINC 45216
(39.19856897100004, -84.47975630799993)"
